# age N_data S_data
11100.000000 10.816200 4.181448
11300.000000 10.464142 3.964689
11500.000000 10.182756 3.621672
11700.000000 9.789505 3.333251
11900.000000 9.306460 3.141972
12100.000000 8.961960 3.230883
12300.000000 8.744439 2.979480
12500.000000 8.730185 2.403884
12700.000000 8.722778 2.164421
12900.000000 8.853470 2.057160
13100.000000 9.141201 1.886446
13300.000000 9.374840 1.690860
13500.000000 9.139808 1.566958
13700.000000 8.858829 1.563723
13900.000000 8.658897 1.590675
14100.000000 8.348724 1.327032
14300.000000 8.108410 1.166069
14500.000000 7.878585 1.060319
14700.000000 7.451767 1.030451
14900.000000 7.189140 0.870460
15100.000000 6.850075 0.574113
15300.000000 6.326964 0.301704
15500.000000 5.754572 0.321552
15700.000000 5.436249 0.263092
15900.000000 4.984768 -0.090908
16100.000000 4.725809 -0.388619
16300.000000 4.674731 -0.559196
16500.000000 4.499696 -0.727639
16700.000000 4.396673 -1.458191
16900.000000 4.337913 -2.186561
17100.000000 4.141806 -2.444851
17300.000000 4.230631 -2.670227
17500.000000 4.457121 -2.621021
17700.000000 4.673050 -3.159221
17900.000000 4.836412 -3.426076
18100.000000 4.960742 -3.127967
18300.000000 5.108232 -3.195457
18500.000000 5.283113 -3.514957
18700.000000 5.426917 -3.702353
18900.000000 5.666863 -3.737036
19100.000000 5.710845 -3.620311
19300.000000 5.791856 -3.733118
19500.000000 5.776335 -3.621573
19700.000000 5.822023 -3.698076
19900.000000 5.867538 -3.871125
20100.000000 6.147856 -4.071806
20300.000000 6.184793 -4.012100
20500.000000 6.256359 -4.055819
20700.000000 6.409510 -4.128272
20900.000000 6.378792 -4.184623
21100.000000 6.537579 -4.387280
21300.000000 6.656734 -4.267078
21500.000000 6.788228 -4.208575
21700.000000 6.956751 -4.216607
21900.000000 6.984018 -4.214479
22100.000000 7.167528 -4.311860
22300.000000 7.366708 -4.159783
22500.000000 7.547002 -4.125882
22700.000000 7.696677 -3.932733
22900.000000 7.748928 -3.812643
23100.000000 7.801969 -3.849223
23300.000000 8.002119 -3.769027
23500.000000 8.111090 -3.980382
23700.000000 8.252963 -3.791277
23900.000000 8.467628 -3.638652
