# age N_data S_data
22000.000000 7.932143 -5.016623
21989.999771 7.966691 -4.923507
21979.999542 8.038134 -4.924061
21969.999313 7.928756 -4.950446
21959.999084 8.015478 -4.774667
21950.000763 8.167390 -4.804242
21940.000534 8.037806 -4.762718
21930.000305 7.975365 -4.987187
21920.000076 8.027254 -4.856750
21909.999847 8.070160 -4.942544
21899.999619 8.081939 -4.946665
21889.999390 7.750915 -4.873274
21879.999161 7.939721 -4.903006
21870.000839 7.836051 -4.804919
21860.000610 8.079261 -4.875398
21850.000381 7.984124 -4.782237
21840.000153 7.900492 -4.800875
21829.999924 7.978398 -4.940471
21819.999695 7.907661 -4.808126
21809.999466 7.826382 -4.923783
21799.999237 8.111927 -4.815545
21790.000916 7.905673 -4.796332
21780.000687 8.052399 -4.991192
21770.000458 7.829420 -4.904656
21760.000229 8.170424 -4.828947
21750.000000 8.112557 -4.881340
21739.999771 8.026475 -4.988676
21729.999542 8.026305 -4.854743
21719.999313 7.925682 -4.727263
21709.999084 7.897148 -4.863487
21700.000763 7.748187 -4.739226
21690.000534 7.957610 -4.905128
21680.000305 7.852648 -4.970068
21670.000076 7.916450 -5.038951
21659.999847 7.825142 -4.843505
21649.999619 7.974255 -4.976476
21639.999390 8.034554 -4.989278
21629.999161 8.001378 -4.872633
21620.000839 8.037361 -4.683176
21610.000610 7.940233 -4.855187
21600.000381 8.068419 -4.811366
21590.000153 8.010853 -5.060999
21579.999924 7.984629 -4.872737
21569.999695 8.029355 -4.881648
21559.999466 7.995104 -4.969182
21549.999237 7.948281 -4.891603
21540.000916 8.035179 -4.861194
21530.000687 7.884823 -4.968488
21520.000458 7.766429 -4.926145
21510.000229 7.809955 -4.884489
21500.000000 7.835227 -4.830300
21489.999771 8.001213 -4.983169
21479.999542 8.070687 -5.032026
21469.999313 8.031288 -4.730303
21459.999084 8.105297 -4.851086
21450.000763 7.941781 -4.736193
21440.000534 7.925369 -4.795398
21430.000305 7.776255 -4.778294
21420.000076 7.820800 -4.937386
21409.999847 7.974212 -4.578989
21399.999619 7.839525 -4.762525
21389.999390 8.082042 -4.889784
21379.999161 7.860861 -4.804020
21370.000839 7.925710 -4.901698
21360.000610 7.903343 -4.775675
21350.000381 7.913261 -4.977616
21340.000153 7.821686 -4.708733
21329.999924 7.912875 -4.748793
21319.999695 7.893548 -4.884873
21309.999466 7.905457 -4.768437
21299.999237 8.001079 -4.722021
21290.000916 8.155161 -4.847992
21280.000687 7.768430 -4.912274
