# age N_data S_data
19000.000000 7.218215 -5.029469
18989.999771 7.524172 -5.013161
18979.999542 7.423208 -4.984609
18969.999313 7.295979 -4.815685
18959.999084 7.286996 -4.964743
18950.000763 7.407740 -4.972197
18940.000534 7.510407 -4.894693
18930.000305 7.194152 -4.963849
18920.000076 7.225991 -4.920849
18909.999847 7.220471 -4.942347
18899.999619 7.458711 -4.993050
18889.999390 7.498296 -4.880814
18880.001068 7.431003 -4.920294
18870.000839 7.303779 -4.943106
18860.000610 7.232120 -4.888983
18850.000381 7.130380 -5.059599
18840.000153 7.393461 -4.992111
18829.999924 7.388669 -4.965901
18819.999695 7.334143 -4.939685
18809.999466 7.228951 -4.943743
18799.999237 7.373545 -4.864326
18790.000916 7.325063 -5.014404
18780.000687 7.329917 -5.068690
18770.000458 7.280977 -4.959348
18760.000229 7.199045 -4.916505
18750.000000 7.232470 -5.100115
18739.999771 7.215114 -5.013141
18729.999542 7.298636 -4.910364
18719.999313 7.095255 -4.961369
18709.999084 7.324148 -4.979984
18700.000763 7.058402 -5.003650
18690.000534 7.126373 -4.969322
18680.000305 7.110278 -4.846451
18670.000076 6.948200 -4.672710
18659.999847 7.213189 -4.863256
18649.999619 7.082699 -4.888910
18639.999390 6.802532 -4.909519
18630.001068 6.922094 -4.989061
18620.000839 7.019691 -4.957916
18610.000610 6.932879 -4.960234
18600.000381 6.913356 -4.790485
18590.000153 6.910620 -5.068930
18579.999924 6.809146 -4.859744
18569.999695 6.952583 -4.769665
18559.999466 6.812596 -5.014736
18549.999237 6.929655 -4.782399
18540.000916 6.935762 -4.864440
18530.000687 6.863599 -4.847354
18520.000458 6.814332 -4.747956
18510.000229 6.878991 -4.818140
18500.000000 6.852438 -4.852108
18489.999771 6.643746 -4.802022
18479.999542 6.821919 -4.722889
18469.999313 6.853156 -4.683945
18459.999084 6.676743 -4.842485
18450.000763 6.851313 -4.765592
18440.000534 6.817624 -4.734385
18430.000305 6.674436 -4.632774
18420.000076 6.866881 -4.728831
18409.999847 6.812663 -4.705031
18399.999619 6.757303 -4.641029
18389.999390 6.720111 -4.504019
18380.001068 6.716296 -4.645513
18370.000839 6.830764 -4.686486
18360.000610 6.571140 -4.502881
18350.000381 6.654665 -4.434415
18340.000153 6.710057 -4.540749
18329.999924 6.927030 -4.481482
18319.999695 6.819806 -4.493681
18309.999466 6.813756 -4.530906
18299.999237 6.769642 -4.726573
18290.000916 6.852322 -4.566378
18280.000687 6.705824 -4.464296
18270.000458 6.462043 -4.364650
18260.000229 6.547355 -4.495179
18250.000000 6.815517 -4.364237
18239.999771 6.594782 -4.444522
18229.999542 6.704114 -4.375123
18219.999313 6.541622 -4.343668
18209.999084 6.454742 -4.320838
18200.000763 6.431108 -4.390808
18190.000534 6.685564 -4.350083
18180.000305 6.587913 -4.409524
18170.000076 6.468273 -4.264601
18159.999847 6.478225 -4.365127
18149.999619 6.728821 -4.192366
18139.999390 6.545394 -4.339462
18130.001068 6.693460 -4.375017
18120.000839 6.704731 -4.163272
18110.000610 6.624626 -4.325530
18100.000381 6.621429 -4.189825
18090.000153 6.451902 -4.229566
18079.999924 6.554174 -4.302430
18069.999695 6.552001 -4.246765
18059.999466 6.580132 -4.126107
18049.999237 6.255304 -4.260556
18040.000916 6.451355 -4.178416
18030.000687 6.514805 -4.122236
18020.000458 6.546136 -4.189272
18010.000229 6.474382 -4.185749
18000.000000 6.504138 -4.249263
17989.999771 6.546953 -4.066213
17979.999542 6.385499 -4.022545
17970.001221 6.447100 -4.137998
17959.999084 6.613638 -3.970447
17950.000763 6.642054 -4.182968
17940.000534 6.555971 -4.153129
17930.000305 6.661085 -4.169409
17920.000076 6.384988 -4.090391
17909.999847 6.599637 -3.981467
17899.999619 6.425511 -4.021387
17889.999390 6.558260 -4.018372
17880.001068 6.453979 -4.046922
17869.998932 6.322879 -4.054615
17860.000610 6.601422 -4.028410
17850.000381 6.542512 -4.093963
17840.000153 6.508292 -4.095425
17829.999924 6.488459 -4.064953
17819.999695 6.545266 -4.062997
17809.999466 6.366494 -3.960520
17799.999237 6.372937 -3.911939
17790.000916 6.224737 -4.041596
17780.000687 6.231950 -3.827493
17770.000458 6.427259 -4.110806
17760.000229 6.311744 -3.954157
17750.000000 6.379190 -4.014001
17739.999771 6.541669 -3.865761
17729.999542 6.437828 -3.883549
17720.001221 6.104259 -3.924553
17709.999084 6.053297 -3.895429
17700.000763 6.116632 -3.873678
17690.000534 6.441279 -3.768774
17680.000305 6.428883 -3.764773
17670.000076 6.298641 -3.802284
17659.999847 6.300281 -3.836223
17649.999619 6.343672 -3.814757
17639.999390 6.347162 -3.706262
17630.001068 6.325004 -3.896060
17619.998932 6.331664 -3.934781
17610.000610 6.261913 -3.629137
17600.000381 6.231651 -3.814566
17590.000153 6.205749 -3.598224
17579.999924 6.231235 -3.664342
17569.999695 6.242834 -3.699293
17559.999466 6.169822 -3.643441
17549.999237 6.284856 -3.656866
17540.000916 6.108689 -3.659693
17530.000687 6.106040 -3.650291
17520.000458 6.507150 -3.610543
17510.000229 6.219528 -3.767115
17500.000000 6.102347 -3.610255
17489.999771 6.106741 -3.625396
17479.999542 6.223121 -3.468359
17470.001221 6.132591 -3.609718
17459.999084 6.043269 -3.524020
17450.000763 5.951359 -3.694079
17440.000534 6.103092 -3.674655
17430.000305 6.095269 -3.513809
17420.000076 6.138628 -3.501194
17409.999847 6.228702 -3.552757
17399.999619 6.166854 -3.477528
17389.999390 6.208805 -3.606865
17380.001068 6.143511 -3.443170
17369.998932 6.035051 -3.528796
17360.000610 6.021500 -3.622611
17350.000381 6.092819 -3.621069
17340.000153 6.116670 -3.544040
17329.999924 6.279519 -3.530228
17319.999695 6.161641 -3.517271
17309.999466 6.121486 -3.410662
17299.999237 6.384077 -3.505613
17290.000916 5.969170 -3.542659
17280.000687 5.963562 -3.345993
17270.000458 6.176080 -3.567622
17260.000229 6.176357 -3.521769
17250.000000 6.166286 -3.410850
17239.999771 6.267827 -3.305870
17229.999542 6.304596 -3.445830
17220.001221 6.241090 -3.376987
17209.999084 6.374243 -3.326141
17200.000763 6.170951 -3.398195
17190.000534 6.287702 -3.227544
17180.000305 6.166521 -3.397354
17170.000076 6.100319 -3.303016
17159.999847 6.055315 -3.349544
17149.999619 6.077604 -3.372973
17139.999390 6.190372 -3.382809
17130.001068 6.145828 -3.287113
17119.998932 6.118075 -3.290727
17110.000610 6.029454 -3.281730
17100.000381 6.145905 -3.315945
17090.000153 6.208557 -3.383707
17079.999924 6.116520 -3.397960
17069.999695 6.032030 -3.257831
17059.999466 6.129504 -3.256407
17049.999237 6.125550 -3.338282
17040.000916 5.984279 -3.217168
17030.000687 6.252656 -3.261625
17020.000458 6.261328 -3.281169
17010.000229 6.137788 -3.212064
17000.000000 6.123017 -3.246326
16989.999771 6.029331 -3.158534
16979.999542 6.061717 -3.264001
16970.001221 6.137211 -3.171986
16959.999084 6.305869 -3.187641
16950.000763 6.102827 -3.192942
16940.000534 5.979314 -3.169119
16930.000305 6.012229 -3.177893
16920.000076 6.236075 -3.009954
16909.999847 6.215145 -3.077938
16899.999619 5.985077 -3.166515
16889.999390 6.204007 -3.170415
16880.001068 6.200679 -3.214768
16869.998932 6.280256 -3.096476
16860.000610 6.106618 -3.170401
16850.000381 5.985424 -3.070812
16840.000153 5.957405 -3.151519
16829.999924 5.948757 -3.091459
16819.999695 6.057012 -3.002468
16809.999466 6.309351 -3.081995
16799.999237 6.324053 -3.057805
16790.000916 6.126346 -2.990693
16780.000687 6.088544 -2.926091
16770.000458 6.056292 -3.058056
16760.000229 5.894283 -3.079991
16750.000000 5.994832 -3.034600
16739.999771 6.213021 -2.931607
16729.999542 6.054572 -3.105458
16720.001221 6.034617 -3.211597
16709.999084 5.994805 -3.099034
16700.000763 6.076216 -3.182675
16690.000534 6.141801 -3.148153
16680.000305 6.066994 -3.026696
16670.000076 6.025655 -2.981424
16659.999847 5.990955 -3.042751
16649.999619 6.015352 -3.087738
16639.999390 6.043862 -3.012361
16630.001068 5.981214 -2.966083
16619.998932 6.160612 -3.112613
16610.000610 6.074271 -3.176066
16600.000381 6.129896 -3.010579
16590.000153 6.166318 -3.169671
16579.999924 6.154787 -3.033114
16569.999695 6.019292 -3.020950
16559.999466 5.890698 -2.998562
16549.999237 6.116943 -3.005643
16540.000916 6.326353 -2.977195
16530.000687 6.051405 -2.965825
16520.000458 5.896598 -2.903099
16510.000229 6.027429 -2.976072
16500.000000 5.899430 -2.954770
16489.999771 6.050820 -2.973151
16479.999542 6.169324 -2.996396
16470.001221 6.229719 -2.971150
16459.999084 6.229798 -2.976339
16450.000763 6.109520 -3.026248
16440.000534 6.052137 -3.009904
16430.000305 6.192973 -2.932389
16420.000076 6.185139 -3.055846
16409.999847 6.029078 -2.966412
16399.999619 6.097207 -2.827775
16389.999390 6.080329 -2.972430
16380.001068 6.258599 -2.965839
16370.000839 5.916307 -3.035859
16360.000610 6.193451 -2.979999
16350.000381 6.203934 -2.870525
16340.000153 6.091291 -2.924037
16329.999924 6.081630 -2.741174
16319.999695 6.081485 -2.929386
16309.999466 6.102916 -2.928113
16299.999237 5.935054 -2.964615
16290.000916 6.018700 -2.903323
16280.000687 6.066319 -3.003404
16270.000458 6.220721 -2.816504
16260.000229 6.060461 -2.878971
16250.000000 6.107909 -2.903442
16239.999771 6.145887 -3.050522
16229.999542 6.353910 -3.040630
16220.001221 6.201259 -2.832276
16209.999084 6.218829 -3.112062
16200.000763 6.015368 -2.972552
16190.000534 6.227282 -2.906245
16180.000305 5.985080 -2.951525
16170.000076 6.130348 -2.985871
16159.999847 6.143113 -2.831035
16149.999619 6.091681 -2.971082
16139.999390 6.113626 -3.045749
16130.001068 6.132818 -2.957469
16120.000839 6.132250 -2.957484
16110.000610 6.107862 -2.914138
16100.000381 6.046327 -3.051635
16090.000153 6.131541 -2.921719
16079.999924 5.910374 -2.879985
16069.999695 6.140223 -2.777497
16059.999466 6.309154 -2.974689
16049.999237 6.375430 -2.908362
16040.000916 6.199221 -2.947550
16030.000687 6.179169 -2.861268
16020.000458 6.176051 -2.842397
16010.000229 5.970552 -2.870979
16000.000000 6.035765 -3.011678
15989.999771 6.139637 -2.949032
15979.999542 5.953669 -2.900675
15970.000267 6.061490 -2.817694
15960.000038 6.176484 -2.919603
15950.000763 6.237384 -2.884064
15940.000534 6.078632 -2.950393
15930.000305 5.762095 -2.884944
15920.000076 6.041604 -2.871616
15909.999847 6.177009 -2.880400
15899.999619 6.113810 -2.899645
15890.000343 5.967433 -2.912040
15880.000114 6.002044 -2.793889
15870.000839 6.162631 -2.955884
15860.000610 6.066123 -2.922600
15850.000381 6.199277 -2.824791
15840.000153 6.040709 -2.872671
15829.999924 6.251468 -2.855885
15819.999695 6.120228 -2.771436
15809.999466 6.211621 -2.824850
15800.000191 6.418621 -2.826185
15789.999962 6.061980 -2.906951
15780.000687 5.914402 -2.869077
15770.000458 6.008678 -2.784795
15760.000229 6.084077 -2.868141
15750.000000 6.309771 -2.892192
15739.999771 6.226899 -2.884346
15729.999542 6.146846 -2.796726
15720.000267 6.104491 -2.859856
15710.000038 6.095258 -2.795926
15700.000763 6.048143 -2.766461
15690.000534 6.101563 -2.860961
15680.000305 6.093472 -2.709400
15670.000076 6.152447 -2.802887
15659.999847 6.292702 -2.808083
15649.999619 6.210250 -2.866972
15640.000343 6.042244 -2.950004
15630.000114 6.053036 -2.851655
15620.000839 6.155147 -2.902327
15610.000610 6.168243 -2.869100
15600.000381 6.292201 -2.849568
15590.000153 6.224658 -2.807908
15579.999924 6.095893 -2.835415
15569.999695 6.216043 -2.717252
15559.999466 6.142618 -2.913187
15550.000191 6.109870 -2.797806
15539.999962 6.053092 -2.754814
15530.000687 6.007373 -2.833517
15520.000458 6.142256 -2.632651
15510.000229 6.107519 -2.811803
15500.000000 6.052517 -2.801710
15489.999771 6.061391 -2.772723
15479.999542 6.096618 -2.887233
15470.000267 5.918929 -2.878883
15460.000038 6.018663 -2.856869
15450.000763 6.131553 -2.809103
15440.000534 6.159751 -2.813841
15430.000305 5.999429 -2.775134
15420.000076 6.224390 -2.780452
15409.999847 6.258005 -2.934541
15399.999619 6.105686 -2.803397
15390.000343 6.076007 -2.806827
15380.000114 6.190640 -2.767461
15370.000839 6.162260 -2.895946
15360.000610 6.126243 -2.678674
15350.000381 5.932840 -2.762900
15340.000153 6.058922 -2.691462
15329.999924 5.877658 -2.744212
15319.999695 6.414355 -2.726326
