# age N_data S_data
19000.000000 7.586873 -4.945830
18989.999771 7.254126 -4.921922
18979.999542 7.173051 -4.966050
18969.999313 7.370042 -5.041085
18959.999084 7.500810 -5.185690
18950.000763 7.437059 -5.039439
18940.000534 7.353659 -4.932125
18930.000305 7.347761 -4.894347
18920.000076 7.575399 -5.037041
18909.999847 7.508079 -4.932592
18899.999619 7.444709 -4.869234
18889.999390 7.293818 -5.044111
18880.001068 7.330868 -4.900138
18870.000839 7.178806 -4.950489
18860.000610 7.356705 -4.985016
18850.000381 7.410181 -4.986058
18840.000153 7.285027 -4.857999
18829.999924 7.297094 -4.916468
18819.999695 7.157036 -5.114355
18809.999466 7.361721 -4.939706
18799.999237 7.264624 -4.926325
18790.000916 7.319110 -5.110477
18780.000687 7.255998 -4.915712
18770.000458 7.296972 -4.718269
18760.000229 7.479423 -4.897426
18750.000000 7.192680 -4.997704
18739.999771 7.384637 -4.918927
18729.999542 7.249204 -4.941987
18719.999313 7.432557 -4.941800
18709.999084 7.208233 -4.792981
18700.000763 7.367777 -4.833820
18690.000534 7.377489 -4.955514
18680.000305 7.435788 -4.985000
18670.000076 7.105851 -5.024362
18659.999847 7.105512 -4.904219
18649.999619 7.235847 -4.892992
18639.999390 7.513246 -4.856262
18630.001068 7.237372 -4.881782
18620.000839 7.440779 -5.173713
18610.000610 7.285772 -5.133595
18600.000381 7.229224 -4.949004
18590.000153 7.051051 -5.017903
18579.999924 7.167011 -5.116179
18569.999695 7.228317 -4.933641
18559.999466 7.347589 -4.926788
18549.999237 7.237775 -4.853574
18540.000916 7.331030 -4.865082
18530.000687 7.293945 -4.828445
18520.000458 7.381223 -4.820990
18510.000229 7.496334 -4.889198
18500.000000 7.375089 -5.026112
18489.999771 7.484198 -4.846942
18479.999542 7.409079 -4.965287
18469.999313 7.436142 -4.887608
18459.999084 7.320383 -5.084409
18450.000763 7.353256 -5.001192
18440.000534 7.366068 -5.018042
18430.000305 7.283158 -4.929186
18420.000076 7.414331 -4.944929
18409.999847 7.342664 -4.975824
18399.999619 7.336666 -4.803967
18389.999390 7.313692 -4.855422
18380.001068 7.453077 -4.801136
18370.000839 7.324895 -4.967777
18360.000610 7.309278 -4.984202
18350.000381 7.356035 -4.900947
18340.000153 7.355538 -4.825163
18329.999924 7.445260 -4.873063
18319.999695 7.178429 -4.856459
18309.999466 7.366016 -4.996516
18299.999237 7.495337 -4.777367
18290.000916 7.455115 -5.012599
18280.000687 7.569720 -4.983331
18270.000458 7.371592 -4.996213
18260.000229 7.408137 -4.983439
18250.000000 7.263597 -4.885919
18239.999771 7.642839 -4.806703
18229.999542 7.527573 -4.900013
18219.999313 7.487013 -4.935867
18209.999084 7.371726 -4.983222
18200.000763 7.345925 -4.972814
