# age N_data S_data
22000.000000 7.385965 -5.255156
21989.999771 7.286997 -5.353013
21979.999542 7.283847 -5.291281
21969.999313 7.222822 -5.276391
21959.999084 7.355512 -5.280679
21950.000763 7.077147 -5.292861
21940.000534 7.250542 -5.467462
21930.000305 7.109226 -5.350801
21920.000076 7.099772 -5.191940
21909.999847 7.386541 -5.156895
21899.999619 7.496283 -5.328942
21889.999390 7.467390 -5.467741
21879.999161 7.256509 -5.515090
21870.000839 7.478367 -5.311473
21860.000610 7.388217 -5.246423
21850.000381 7.371293 -5.439011
21840.000153 7.347888 -5.402930
21829.999924 7.180860 -5.458336
21819.999695 7.275131 -5.240404
21809.999466 7.160154 -5.394335
21799.999237 7.141335 -5.221245
21790.000916 7.403930 -5.383209
21780.000687 7.421967 -5.355963
21770.000458 7.496411 -5.346402
21760.000229 7.113313 -5.401978
21750.000000 7.166574 -5.124531
21739.999771 7.494968 -5.374373
21729.999542 7.473280 -5.274995
21719.999313 7.514013 -5.295283
21709.999084 7.359144 -5.266508
21700.000763 7.294445 -5.284190
21690.000534 7.197658 -5.308671
21680.000305 7.436867 -5.291833
21670.000076 7.196626 -5.465375
21659.999847 7.091459 -5.174434
21649.999619 7.111847 -5.370014
21639.999390 7.111231 -5.250173
21629.999161 7.089516 -5.366280
21620.000839 7.055253 -5.304524
21610.000610 7.193398 -5.411814
21600.000381 7.306043 -5.239790
21590.000153 7.332071 -5.222992
21579.999924 7.264968 -5.249683
21569.999695 7.161036 -5.392242
21559.999466 7.282778 -5.311044
21549.999237 7.128079 -5.363370
21540.000916 7.246713 -5.234754
21530.000687 7.095917 -5.212943
21520.000458 7.395259 -5.346956
21510.000229 7.230444 -5.362519
21500.000000 7.367573 -5.347228
21489.999771 7.356375 -5.516647
21479.999542 7.359965 -5.204617
21469.999313 7.291036 -5.312946
21459.999084 7.213826 -5.301611
21450.000763 7.225999 -5.408075
21440.000534 7.284963 -5.484970
21430.000305 7.123495 -5.265667
21420.000076 7.197498 -5.335044
21409.999847 7.241998 -5.309006
21399.999619 7.260624 -5.435231
21389.999390 7.288750 -5.436362
21379.999161 7.301280 -5.405677
21370.000839 7.129568 -5.314713
21360.000610 7.270039 -5.418916
21350.000381 6.962070 -5.415277
21340.000153 6.916937 -5.338725
21329.999924 7.120576 -5.271246
21319.999695 7.073922 -5.294694
21309.999466 6.806324 -5.452561
21299.999237 6.960790 -5.396189
21290.000916 7.145851 -5.367644
21280.000687 7.109932 -5.508138
21270.000458 7.191930 -5.183376
21260.000229 7.131627 -5.276085
21250.000000 7.295195 -5.290983
21239.999771 7.005537 -5.336694
21229.999542 7.052727 -5.266366
21219.999313 7.074596 -5.484860
21209.999084 7.061322 -5.349775
21200.000763 7.295251 -5.385516
21190.000534 7.299588 -5.460305
21180.000305 7.092420 -5.200669
21170.000076 6.954730 -5.121833
21159.999847 7.146388 -5.284617
21149.999619 7.287909 -5.245758
21139.999390 7.265841 -5.372420
21129.999161 7.195401 -5.266916
21120.000839 7.119428 -5.370803
21110.000610 7.267803 -5.379402
21100.000381 7.381217 -5.505964
